Rank,Country or Territory,HDI
1, Norway,0.957
2, Ireland,0.955
2,  Switzerland,0.955
4, Hong Kong,0.949
4, Iceland,0.949
6, Germany,0.947
7, Sweden,0.945
8, Australia,0.944
8, Netherlands,0.944
10, Denmark,0.94
11, Finland,0.938
11, Singapore,0.938
13, United Kingdom,0.932
14, Belgium,0.931
14, New Zealand,0.931
16, Canada,0.929
17, United States,0.926
18, Austria,0.922
19, Israel,0.919
19, Japan,0.919
19, Liechtenstein,0.919
22, Slovenia,0.917
23, South Korea,0.916
23, Luxembourg,0.916
24, European Union,0.911
25, Spain,0.904
26, France,0.901
27, Czech Republic,0.9
28, Malta,0.895
29, Estonia,0.892
29, Italy,0.892
31, United Arab Emirates,0.89
32, Greece,0.888
33, Cyprus,0.887
34, Lithuania,0.882
35, Poland,0.88
36, Andorra,0.868
37, Latvia,0.866
38, Portugal,0.864
39, Slovakia,0.86
40, Hungary,0.854
40, Saudi Arabia,0.854
42, Bahrain,0.852
43, Chile,0.851
43, Croatia,0.851
45, Qatar,0.848
46, Argentina,0.845
47, Brunei,0.838
48, Montenegro,0.829
49, Romania,0.828
50, Palau,0.826
51, Kazakhstan,0.825
52, Russia,0.824
53, Belarus,0.823
54, Turkey,0.82
55, Uruguay,0.817
56, Bulgaria,0.816
57, Panama,0.815
58, Bahamas,0.814
58, Barbados,0.814
60, Oman,0.813
61, Georgia,0.812
62, Costa Rica,0.81
62, Malaysia,0.81
64, Kuwait,0.806
64, Serbia,0.806
66, Mauritius,0.804
